Address,Post Code,City,Type of property,Property Subtype,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Number of facades,Swimming pool,State of the building
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,331.088,sale,2,109 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,257.313,sale,2,84 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,277.438,sale,2,91 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,260.188,sale,2,85 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,265.938,sale,2,87 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,320.563,sale,2,106 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,261.788,sale,2,84 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,264.713,sale,2,85 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,282.263,sale,2,91 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,326.138,sale,2,106 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,330.525,sale,2,94 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,277.500,sale,1,88 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,261.800,sale,2,88 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,259.000,sale,2,87 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,245.000,sale,1,75 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,231.000,sale,1,70 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,268.813,sale,2,88 m²,No,No,Yes,Yes,No,,Yes,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,231.438,sale,1,75 m²,No,No,Yes,Yes,No,,Yes,No,
 Meerlaan 34  ,9620,Zottegem,house,Residence,199.000,sale,2,192 m²,No,Yes,Yes,,No,,Yes,No,
 Kleine Bergen 13  ,2830,Heindonk,house,Residence,368.000,sale,3,250 m²,No,Yes,No,,No,,1600 m²,No,
,8793,Sint-Eloois-Vijve,house,Residence,ne,sale,3,4720 m²,No,No,No,,No,,,No,
 Rue du Progrès 105  ,6180,Courcelles,house,Residence,220.000,sale,3,163 m²,No,Yes,Yes,,No,,Yes,No,
,7740,Pecq,house,Mixed,429.000,sale,5,,No,Yes,Yes,,No,,Yes,No,Yes
 Astridlaan 170  ,8310,Assebroek,house,Residence,828.000,sale,3,568 m²,No,Yes,No,,Yes,Yes,Yes,No,On contract
 Sint-Pieterskaai 76  ,8000,Brugge,house,Residence,449.000,sale,3,300 m²,No,No,Yes,Yes,No,,,No,
 grasplein 16  ,8520,Kuurne,house,Residence,255.000,sale,4,150 m²,Yes,Yes,No,,No,,Yes,No,1974
